city_name,seismic_level,risk_percent
Laredo,2,87.56
Chicago,5,
Tampa,4,89.35
Omaha,1,
Minneapolis,3,75.03
Boston,5,80.99
Chicago,3,23.42
Long Beach,4,72.59
Milwaukee,3,61.89
Dallas,1,34.23
Miami,5,14.70
Tampa,3,49.80
Seattle,3,13.45
Omaha,2,13.99
San Francisco,1,56.44
St. Petersburg,1,
St. Louis,5,15.16
Chicago,4,
Oakland,4,66.16
Tulsa,4,17.63
Bakersfield,1,21.16
Cincinnati,2,
Wichita,3,68.13
Orlando,3,71.44
Fresno,1,67.45
Milwaukee,1,53.29
Irvine,4,60.12
Laredo,2,12.90
Cleveland,2,48.16
St. Louis,4,26.19
San Diego,4,80.08
Greensboro,4,36.36
Lincoln,2,40.43
Jacksonville,5,91.05
Oakland,5,31.76
New York,5,35.53
Long Beach,1,12.06
Cleveland,4,88.59
Bakersfield,5,80.74
Durham,4,68.90
Honolulu,3,39.27
San Antonio,2,26.13
Arlington,2,
New York,3,74.97
Baltimore,1,44.30
Denver,4,
Memphis,2,71.03
Corpus Christi,1,
Greensboro,1,47.83
St. Louis,5,48.10
Pittsburgh,2,44.47
Anaheim,4,64.05
Louisville,4,52.07
San Antonio,1,97.52
Chula Vista,5,96.05
Saint Paul,5,68.33
San Antonio,2,80.24
Tampa,1,16.28
Tulsa,2,78.73
Laredo,1,49.18
St. Petersburg,3,54.82
Riverside,5,99.36
Portland,2,46.76
Lincoln,5,79.63
Chula Vista,4,96.61
Denver,3,42.10
Fresno,1,31.31
Los Angeles,2,72.69
Denver,5,69.63
Cincinnati,5,10.85
Jersey City,1,39.28
Long Beach,2,90.36
San Jose,3,18.80
Omaha,2,32.49
Honolulu,2,96.34
Honolulu,2,10.64
El Paso,4,61.54
Mesa,2,31.24
Tampa,1,30.69
Stockton,4,16.62
Pittsburgh,1,75.15
Mesa,2,31.39
Oakland,5,33.40
Toledo,4,41.76
New Orleans,2,29.71
Phoenix,2,27.19
Tucson,1,98.39
Denver,3,99.06
Portland,5,44.84
Henderson,4,14.81
Portland,4,79.01
Detroit,5,44.03
Fort Worth,1,
Indianapolis,2,97.31
St. Louis,5,13.85
Seattle,5,76.09
Indianapolis,4,85.93
El Paso,4,30.87
Columbus,1,14.44
Detroit,2,40.86
Columbus,4,47.99
Sacramento,3,84.52
Colorado Springs,1,82.45
Stockton,1,25.70
Jacksonville,1,52.61
Santa Ana,4,46.40
Colorado Springs,4,76.73
Irvine,5,11.75
Houston,1,64.40
Charlotte,5,16.91
Los Angeles,2,40.13
Colorado Springs,3,61.09
Portland,2,57.71
Omaha,1,81.12
Cincinnati,4,43.59
Lincoln,1,86.36
Anchorage,2,69.11
Chicago,3,35.62
Sacramento,3,51.52
Nashville,2,50.01
Seattle,5,70.24
Boston,1,83.19
Indianapolis,1,37.80
Seattle,4,32.26
Toledo,2,17.30
Cleveland,5,71.57
Oklahoma City,3,36.03
Milwaukee,3,79.25
Corpus Christi,4,
Baltimore,1,
Anchorage,2,15.46
San Jose,2,44.35
Los Angeles,3,68.31
Fresno,5,55.00
Arlington,5,38.52
Cleveland,1,60.53
Milwaukee,4,82.64
Tucson,1,70.38
Washington,1,12.47
Riverside,2,85.15
Dallas,5,60.28
Plano,1,
Greensboro,2,
Henderson,4,88.10
Fresno,3,96.92
Cincinnati,4,12.16
Mesa,3,82.24
Fort Worth,1,18.39
Seattle,2,12.51
Anaheim,1,29.43
Aurora,5,83.64
Seattle,2,93.99
Raleigh,1,75.95
Colorado Springs,5,78.48
Columbus,1,18.38
Dallas,2,66.75
Baltimore,4,54.37
Las Vegas,4,
Laredo,3,39.03
Irvine,4,75.57
Chula Vista,3,56.69
Lincoln,3,77.40
Omaha,5,89.37
Tampa,5,43.05
Dallas,4,89.10
Wichita,1,38.38
Oakland,2,85.05
Mesa,3,29.27
Wichita,2,
Toledo,4,71.33
San Antonio,5,31.65
Detroit,5,78.71
Plano,3,
Fresno,2,90.65
New Orleans,1,83.92
Bakersfield,5,73.44
Fresno,5,39.50
Fresno,1,12.36
Durham,5,15.73
Cincinnati,4,24.00
Toledo,1,82.15
Columbus,2,53.31
Arlington,4,69.90
Newark,1,
Nashville,2,95.87
Honolulu,2,
Durham,1,61.64
Fort Worth,5,99.01
Chula Vista,3,80.06
Toledo,2,
Henderson,1,35.27
San Diego,4,34.35
San Diego,3,83.56
Chicago,1,26.45
Oakland,5,19.74
Bakersfield,1,73.49
Saint Paul,4,78.31
Albuquerque,1,49.56
Pittsburgh,1,58.44
Washington,3,10.22
Philadelphia,2,87.69
New Orleans,2,79.93
Minneapolis,4,26.49
Baltimore,4,67.82
Cincinnati,5,38.54
Cincinnati,3,90.21
Greensboro,5,88.50
Fort Worth,5,53.22
Milwaukee,5,76.83
Memphis,5,57.52
Houston,5,60.96
New York,2,58.95
Minneapolis,1,51.92
Chicago,1,26.73
Tampa,5,64.37
Milwaukee,1,57.20
Henderson,1,71.96
Newark,4,74.96
Baltimore,5,30.46
Dallas,2,22.62
Dallas,3,88.37
Baltimore,4,41.00
Cleveland,1,79.63
Virginia Beach,3,70.72
Memphis,4,35.04
Louisville,4,58.87
Cincinnati,2,13.14
San Diego,4,90.23
Chicago,3,48.12
Denver,4,54.41
San Jose,1,98.29
Aurora,1,28.94
Omaha,1,53.37
Columbus,3,
Milwaukee,4,22.63
Tampa,3,50.73
Charlotte,5,94.09
Orlando,1,40.08
Mesa,4,95.32
Colorado Springs,5,44.11
Fort Wayne,5,80.10
Cleveland,2,39.35
Indianapolis,4,72.48
Sacramento,5,
Los Angeles,4,
St. Petersburg,3,17.49
Aurora,2,68.96
Orlando,3,92.23
Irvine,1,92.58
Sacramento,3,
Bakersfield,5,37.03
Baltimore,1,39.83
Anchorage,5,64.88
Oakland,3,23.23
Anaheim,4,
Jersey City,1,51.41
Saint Paul,4,21.40
Santa Ana,5,60.54
Fort Worth,5,52.99
Minneapolis,5,86.25
Charlotte,3,93.52
Pittsburgh,5,64.69
Toledo,1,
Boston,1,16.21
San Francisco,1,72.45
San Jose,4,81.61
Boston,2,80.11
Riverside,3,91.59
Aurora,1,17.25
Charlotte,4,96.22
San Antonio,2,57.72
Aurora,1,87.11
Arlington,2,97.52
San Jose,5,70.48
New York,5,75.80
Fresno,4,56.73
Anaheim,4,26.56
Dallas,3,52.66
Riverside,3,29.42
Charlotte,5,89.81
St. Louis,1,29.90
Oakland,1,48.05
Albuquerque,4,57.38
Denver,2,20.94
Las Vegas,1,95.13
Charlotte,2,26.64
Dallas,1,95.74
El Paso,1,89.02
Greensboro,3,86.26
San Francisco,2,53.71
Nashville,3,66.16
El Paso,3,64.80
Tucson,5,96.57
Portland,3,37.25
Baltimore,5,
Cleveland,2,37.43
Lexington,5,96.75
Bakersfield,4,64.47
St. Louis,2,42.04
Tucson,5,53.43
Chula Vista,1,40.62
Los Angeles,2,95.84
Anchorage,2,85.43
Greensboro,1,25.40
Omaha,3,
Columbus,2,84.01
Detroit,2,12.76
Louisville,1,
Jacksonville,5,47.85
Jacksonville,2,38.81
Charlotte,2,18.89
Miami,2,
Albuquerque,3,43.46
Seattle,5,
Chicago,3,19.98
Bakersfield,4,18.46
Nashville,5,49.30
Denver,2,32.32
Plano,3,
Irvine,2,55.30
Henderson,2,33.74
Seattle,2,35.70
Columbus,3,99.41
Sacramento,2,63.49
New Orleans,2,89.44
Stockton,1,51.63
Indianapolis,1,49.22
Tucson,2,67.72
Plano,2,
Kansas City,4,26.69
New Orleans,4,72.72
Virginia Beach,3,55.17
San Diego,2,17.45
Riverside,3,
Fort Wayne,4,39.97
Cleveland,4,10.05
Lincoln,1,35.12
Boston,2,70.84
Long Beach,1,32.01
Stockton,4,
Omaha,3,69.88
Saint Paul,2,
Orlando,4,
Louisville,3,
Wichita,1,52.52
Lincoln,1,29.61
Colorado Springs,4,14.71
Atlanta,4,97.31
Omaha,1,10.92
Denver,5,68.86
Stockton,2,22.85
Henderson,3,24.24
Arlington,1,22.05
Durham,4,62.42
Colorado Springs,5,81.00
New Orleans,3,27.59
San Jose,1,51.93
Kansas City,2,90.66
Oakland,1,22.86
Lexington,5,63.29
Arlington,2,38.21
Los Angeles,1,65.18
Phoenix,2,63.88
New York,3,67.38
Greensboro,2,28.10
Minneapolis,2,52.48
Houston,5,39.19
Columbus,3,
Fort Worth,1,55.39
Irvine,3,
Mesa,5,25.93
Henderson,3,49.23
Detroit,5,22.12
Milwaukee,2,55.77
Durham,2,92.04
Baltimore,2,76.39
Mesa,5,36.56
Houston,5,65.09
Detroit,1,80.63
Wichita,4,14.60
Chicago,1,77.35
Aurora,3,80.02
Minneapolis,4,87.56
Toledo,1,36.32
Bakersfield,2,12.68
Riverside,1,30.02
St. Louis,1,93.63
Washington,4,90.57
Detroit,5,42.92
Las Vegas,4,77.54
Denver,4,37.35
Sacramento,1,
San Antonio,5,61.55
Fort Worth,3,54.37
Baltimore,3,37.47
Houston,1,18.92
Lincoln,5,98.06
Nashville,5,92.07
Mesa,2,77.40
Saint Paul,3,86.39
Los Angeles,1,27.80
Corpus Christi,3,
Colorado Springs,3,70.94
Anchorage,4,62.66
Portland,5,55.93
Bakersfield,3,53.90
Louisville,5,24.81
Fort Worth,4,76.80
Albuquerque,3,88.57
Las Vegas,5,46.59
Fresno,2,61.15
Albuquerque,1,28.53
Laredo,2,13.28
Anchorage,4,
Charlotte,3,12.89
Albuquerque,1,61.51
Albuquerque,1,84.90
Jacksonville,2,11.97
Minneapolis,4,26.82
Laredo,2,
Raleigh,2,77.23
Cincinnati,4,25.60
Phoenix,5,25.56
San Antonio,1,49.12
Newark,3,80.67
Detroit,5,93.94
Santa Ana,3,56.11
Honolulu,1,26.87
Santa Ana,1,
Orlando,4,66.26
Lincoln,2,33.50
Memphis,4,42.33
Oakland,3,15.97
Fresno,1,20.33
Toledo,5,
Indianapolis,4,93.46
Pittsburgh,4,87.21
Tulsa,1,30.07
Raleigh,3,90.84
Omaha,5,31.06
Milwaukee,3,31.00
Anchorage,5,
El Paso,2,63.56
San Diego,4,60.88
San Diego,2,62.01
San Diego,5,91.46
Corpus Christi,5,32.61
Fresno,4,57.24
Columbus,5,77.41
St. Louis,2,13.62
Kansas City,4,54.18
Oakland,2,82.58
Tampa,5,40.61
Detroit,3,36.28
Aurora,3,
San Antonio,3,17.39
El Paso,2,38.91
Plano,4,61.97
Nashville,2,10.39
Lincoln,3,76.05
Jacksonville,5,80.61
San Jose,5,56.33
Wichita,4,81.30
Cleveland,1,42.99
Houston,1,28.26
New Orleans,3,47.73
Anaheim,1,10.63
New York,3,30.17
El Paso,4,99.19
Wichita,4,15.65
Albuquerque,4,61.33
Anchorage,1,96.02
Lincoln,3,89.23
Minneapolis,3,94.85
New York,4,74.06
Corpus Christi,2,97.81
Tulsa,4,44.00
Chicago,5,78.32
Baltimore,2,39.36
Houston,2,99.95
Louisville,5,77.86
Colorado Springs,5,38.05
Tampa,4,19.92
Omaha,1,89.85
San Francisco,2,89.83
Anchorage,4,60.49
Bakersfield,4,12.34
Bakersfield,3,21.93
Indianapolis,2,99.03
Pittsburgh,3,98.88
San Diego,3,61.03
Honolulu,1,26.90
San Diego,4,78.52
Newark,1,
Raleigh,1,50.67
Tampa,5,16.37
Anaheim,4,98.00
Tulsa,4,50.97
St. Louis,5,40.35
Colorado Springs,2,16.69
Plano,5,76.11
Detroit,5,42.49
Durham,1,55.43
Cincinnati,3,67.05
Stockton,3,22.66
San Diego,4,85.94
Mesa,5,44.19
Portland,5,87.30
Anaheim,1,
Milwaukee,3,80.13
Indianapolis,5,59.04
Anaheim,2,27.65
Miami,4,72.65
Indianapolis,2,61.34
Virginia Beach,1,61.39
Chicago,4,26.70
Henderson,2,
Indianapolis,1,46.39
Los Angeles,1,71.84
El Paso,2,19.41
Fort Worth,5,21.74
Tucson,3,78.23
Milwaukee,5,43.52
Detroit,4,43.81
Honolulu,4,15.91
Dallas,4,34.38
Phoenix,3,85.49
Philadelphia,4,
Seattle,5,91.92
Tampa,5,25.48
Omaha,1,67.58
Miami,4,78.57
Oakland,1,47.91
Denver,2,51.70
Orlando,3,34.25
Fort Worth,2,53.46
Stockton,1,84.43
Mesa,3,82.13
Nashville,3,37.74
Seattle,1,95.61
Sacramento,4,76.15
Pittsburgh,1,92.60
Saint Paul,1,39.22
Los Angeles,2,
Charlotte,2,14.21
Tucson,1,82.35
Sacramento,5,24.13
Honolulu,2,34.57
Baltimore,4,10.12
Sacramento,4,65.67
Riverside,4,86.98
Pittsburgh,4,86.12
Miami,1,70.92
Tucson,4,67.52
San Jose,2,98.77
St. Louis,1,74.42
Aurora,1,94.40
Anchorage,3,41.01
Columbus,1,42.61
St. Petersburg,5,31.82
Bakersfield,4,56.53
Dallas,3,73.29
New York,3,61.80
Memphis,2,29.13
Lexington,3,70.09
Cleveland,3,69.55
Mesa,3,67.34
Dallas,5,82.15
Aurora,4,43.40
Arlington,1,39.26
Sacramento,1,46.26
Aurora,2,60.99
Washington,2,21.33
Lincoln,3,58.74
Charlotte,1,58.03
Albuquerque,2,43.83
Charlotte,3,15.08
Austin,3,60.06
Mesa,2,
Raleigh,3,
Oklahoma City,2,18.91
Chicago,4,62.95
Washington,1,57.99
San Francisco,5,
Wichita,4,39.44
Las Vegas,5,44.91
Cleveland,2,25.22
Lincoln,3,59.13
Laredo,5,31.16
Honolulu,5,73.66
Boston,3,
New Orleans,3,26.08
Oklahoma City,4,75.01
Raleigh,3,39.17
Austin,1,27.01
Memphis,4,
Baltimore,3,63.48
St. Louis,1,56.86
Wichita,2,17.57
Portland,5,20.18
Anchorage,5,77.08
Baltimore,1,33.83
Lincoln,5,
Jersey City,3,92.36
El Paso,2,62.06
Wichita,4,36.71
Minneapolis,3,45.66
Baltimore,1,34.03
Austin,1,63.81
San Jose,3,31.68
Oklahoma City,1,
Boston,3,79.57
Portland,3,52.74
Saint Paul,3,85.84
Memphis,4,
Long Beach,4,92.21
Laredo,3,99.51
Anaheim,5,86.20
Indianapolis,2,97.19
Phoenix,2,35.39
Saint Paul,2,78.95
Nashville,5,15.50
Jacksonville,1,69.73
Milwaukee,1,44.72
Wichita,3,12.95
Virginia Beach,2,65.48
Chula Vista,2,47.52
San Diego,3,14.33
Raleigh,1,44.10
Tucson,4,90.64
Boston,5,10.47
Indianapolis,1,31.07
Pittsburgh,4,20.21
Jacksonville,2,94.21
Orlando,3,33.87
Wichita,1,96.71
Tulsa,4,98.76
Houston,4,69.50
Miami,3,86.93
Tampa,2,31.72
Lexington,3,87.11
Dallas,4,10.93
New York,5,28.25
Fort Wayne,1,16.12
Colorado Springs,4,79.44
Columbus,2,65.71
Fort Wayne,1,
Arlington,2,27.84
San Francisco,1,
Kansas City,2,67.10
Charlotte,5,73.58
Indianapolis,2,46.56
Los Angeles,2,
Oklahoma City,4,13.12
Chula Vista,3,38.38
St. Petersburg,3,87.48
Aurora,2,20.89
St. Louis,3,94.01
Los Angeles,1,40.33
Laredo,4,49.80
Washington,1,84.79
St. Louis,1,67.99
Charlotte,1,71.65
Virginia Beach,3,29.49
Dallas,4,26.86
Raleigh,1,24.00
New York,1,93.52
Milwaukee,3,32.97
San Diego,2,27.79
Denver,2,70.86
Miami,2,89.11
Atlanta,4,20.92
New Orleans,5,78.17
Honolulu,3,47.91
Laredo,2,80.69
Saint Paul,5,37.04
Orlando,4,76.25
Long Beach,3,37.85
Philadelphia,3,43.72
Plano,3,92.20
Omaha,1,32.15
Fort Wayne,3,54.74
Charlotte,4,56.84
Fort Worth,4,26.44
Seattle,2,57.62
Fresno,1,82.05
Boston,3,80.71
Phoenix,1,12.50
Durham,2,73.88
Riverside,3,
Oklahoma City,2,51.73
Portland,4,88.90
Chicago,2,81.27
Omaha,1,15.65
Milwaukee,1,11.54
Oakland,4,99.64
Houston,5,18.50
Anaheim,3,98.46
Boston,2,87.70
Memphis,3,87.97
Anaheim,5,63.70
Phoenix,4,90.42
Baltimore,2,92.28
Kansas City,4,
Orlando,3,35.67
Pittsburgh,1,76.16
Sacramento,5,48.17
San Antonio,2,86.23
Riverside,5,85.94
Jersey City,2,32.99
Tucson,4,
Austin,3,60.80
Miami,2,
Lexington,2,34.20
Lincoln,3,25.73
Corpus Christi,1,35.70
Sacramento,3,98.13
Mesa,1,71.33
Orlando,2,
Albuquerque,4,60.54
Baltimore,2,
Cleveland,3,65.16
Honolulu,3,35.47
Chicago,5,62.27
Tucson,1,73.20
Sacramento,5,22.26
Aurora,1,87.14
Cincinnati,3,98.38
Virginia Beach,4,12.25
Memphis,1,85.20
Orlando,1,26.75
Arlington,3,18.68
Tucson,4,79.81
Orlando,1,59.63
Kansas City,3,92.80
Santa Ana,4,93.37
Saint Paul,4,62.52
Bakersfield,2,11.67
Baltimore,2,92.49
Louisville,1,
St. Louis,1,77.89
Oklahoma City,4,98.32
Chicago,2,17.15
Durham,4,
Wichita,4,53.47
Aurora,3,39.80
Fresno,1,53.34
Plano,3,58.51
Oklahoma City,1,25.12
Anchorage,1,56.62
Nashville,2,32.44
Aurora,4,
Anaheim,4,71.35
Mesa,4,48.08
San Antonio,1,26.23
Fresno,5,48.51
Santa Ana,3,37.77
Laredo,3,81.55
Cleveland,4,28.75
Indianapolis,5,16.30
Corpus Christi,2,84.39
Bakersfield,2,75.10
Kansas City,1,78.16
Henderson,2,46.80
St. Louis,5,59.90
Irvine,2,74.07
Santa Ana,1,94.23
Irvine,4,40.71
Oklahoma City,5,98.78
Riverside,1,21.82
Cleveland,1,
Plano,4,67.28
Dallas,1,98.42
Newark,2,55.26
Arlington,2,29.30
Milwaukee,5,39.91
New York,1,75.78
Philadelphia,5,43.50
Bakersfield,4,19.39
Jersey City,3,66.92
Seattle,3,24.74
Detroit,2,62.83
Phoenix,4,38.99
Durham,2,65.50
Bakersfield,5,31.64
Raleigh,2,95.41
Minneapolis,1,14.19
Milwaukee,3,62.33
San Jose,2,27.74
Oklahoma City,4,61.47
Henderson,5,43.65
Minneapolis,5,64.63
Riverside,3,79.77
Sacramento,2,97.12
Laredo,2,58.80
Portland,5,51.41
New York,5,30.55
New York,2,80.42
St. Petersburg,2,67.09
Nashville,2,95.10
Colorado Springs,5,64.97
Tulsa,1,89.43
Fresno,3,81.48
Louisville,5,34.72
Omaha,2,72.81
Honolulu,5,
Tampa,1,11.26
Washington,5,26.72
Mesa,3,89.12
Fresno,2,79.80
Irvine,1,43.16
Colorado Springs,3,65.19
Anaheim,4,
Indianapolis,3,40.96
Corpus Christi,1,35.27
Washington,4,85.87
Oklahoma City,5,92.03
San Jose,2,59.40
Sacramento,1,
Toledo,5,69.99
Milwaukee,5,53.98
Colorado Springs,1,88.41
Chicago,5,
Memphis,5,
Seattle,4,14.66
Colorado Springs,4,70.85
San Jose,2,41.48
Riverside,3,65.89
New York,4,33.64
Pittsburgh,2,89.04
Newark,5,58.13
Louisville,5,56.06
Miami,2,
Durham,3,33.65
Plano,1,67.39
St. Petersburg,4,55.62
Detroit,3,40.07
Albuquerque,5,16.87
Stockton,3,83.89
Raleigh,4,31.74
Aurora,4,15.76
Orlando,4,47.57
Virginia Beach,1,85.83
Newark,4,11.98
Orlando,2,
Oklahoma City,2,37.38
San Jose,5,86.63
Santa Ana,5,46.12
Arlington,3,63.22
Oakland,2,22.70
Pittsburgh,4,27.97
Washington,2,84.84
San Antonio,4,33.04
Omaha,2,51.81
St. Louis,1,83.62
Newark,3,74.94
Philadelphia,3,51.12
Fresno,1,26.52
Boston,2,90.95
Baltimore,3,83.84
Durham,5,15.09
Memphis,3,82.45
Memphis,4,97.76
Anchorage,1,73.86
Laredo,4,18.52
Saint Paul,5,39.73
Chicago,4,41.62
Orlando,5,29.45
New York,4,12.34
Boston,2,69.93
Atlanta,2,64.63
Wichita,4,60.81
Durham,5,62.90
Lincoln,2,82.59
Las Vegas,1,27.34
Jacksonville,4,98.90
Arlington,3,51.66
Philadelphia,1,19.52
Lexington,4,63.55
Honolulu,2,50.94
Milwaukee,3,78.41
New York,3,41.99
Austin,3,29.53
Pittsburgh,5,66.92
Aurora,4,20.21
Cleveland,3,42.58
Lincoln,5,19.14
Jersey City,4,52.66
Boston,2,72.28
Milwaukee,1,70.15
Laredo,1,62.19
Stockton,5,27.18
San Diego,5,43.46
Indianapolis,5,57.31
New York,2,47.54
Honolulu,1,76.88
Henderson,1,40.84
Anchorage,3,50.65
Honolulu,4,66.77
Nashville,5,36.54
Miami,5,17.47
New Orleans,3,19.45
Tulsa,5,
Boston,5,67.78
San Diego,4,59.08
Jersey City,5,92.47
New Orleans,2,34.18
Minneapolis,1,
Las Vegas,5,
Seattle,3,82.12
Sacramento,4,70.34
Austin,4,91.55
Cincinnati,3,
Minneapolis,4,16.33
Omaha,1,86.23
Tulsa,2,96.86
Kansas City,5,35.52
Las Vegas,3,29.99
Long Beach,2,67.46
Henderson,4,56.68
Honolulu,5,86.54
Kansas City,4,32.83
Anchorage,4,52.48
Albuquerque,2,70.61
Anaheim,2,84.49
Louisville,4,68.19
San Jose,1,
Jersey City,1,42.16
Irvine,5,33.50
Henderson,4,
Wichita,4,32.37
Colorado Springs,1,82.09
San Francisco,3,14.30
Colorado Springs,2,92.77
Henderson,1,60.04
Virginia Beach,3,61.84
Stockton,1,84.38
Lexington,2,68.16
Oakland,1,41.11
Memphis,1,39.47
Tucson,4,49.81
Lincoln,2,
Santa Ana,2,58.97
Albuquerque,3,73.34
San Antonio,3,99.36
New Orleans,4,87.61
Miami,5,11.59
Mesa,4,44.63
Boston,5,37.18
Newark,1,96.58
Aurora,3,39.35
Cincinnati,1,88.97
Cleveland,3,59.83
Fort Worth,1,99.33
Atlanta,1,77.48
Louisville,5,
New York,4,65.99
Newark,5,43.06
Detroit,5,73.72
Toledo,5,98.63
Cincinnati,3,
Sacramento,1,82.01
Dallas,1,72.22
Pittsburgh,3,37.30
Nashville,2,43.81
Fort Wayne,1,16.30
Riverside,5,52.44
Milwaukee,5,23.52
Milwaukee,1,68.60
Long Beach,3,
Bakersfield,5,67.46
Jacksonville,1,66.09
Austin,5,
St. Louis,2,68.44
Jersey City,1,56.59
Sacramento,1,68.23
Albuquerque,3,12.55
Riverside,4,39.12
Bakersfield,4,16.85
Tulsa,1,86.92
Orlando,3,28.50
Louisville,4,51.48
Jersey City,3,35.39
Fort Wayne,1,51.22
Miami,1,12.36
Colorado Springs,5,
Long Beach,5,24.19
Bakersfield,5,31.98
Seattle,2,21.50
Corpus Christi,1,52.09
Aurora,5,
Atlanta,5,86.87
Kansas City,1,93.18
San Francisco,2,91.80
Virginia Beach,3,90.18
Riverside,5,96.65
Fresno,5,78.49
El Paso,5,30.14
Wichita,1,32.39
Jacksonville,5,73.59
Wichita,4,22.71
Honolulu,5,54.58
Virginia Beach,3,
El Paso,3,
Charlotte,3,72.51
Tucson,2,91.53
Chula Vista,5,47.31
Kansas City,5,14.59
Lexington,2,82.05
Columbus,3,31.36
Louisville,1,82.46
Fresno,3,45.46
Wichita,2,66.29
Baltimore,5,
Nashville,2,33.81
Sacramento,4,24.64
Dallas,3,24.33
Cleveland,3,27.88
San Francisco,1,52.44
Sacramento,3,52.33
Irvine,1,67.96
Phoenix,1,84.91
Albuquerque,5,36.84
Fort Wayne,3,50.41
San Antonio,1,60.47
Cleveland,5,72.92
Cincinnati,4,94.62
Minneapolis,2,84.35
Fresno,4,38.94
Dallas,5,26.11
Milwaukee,3,67.34
Las Vegas,1,70.77
Pittsburgh,5,78.02
Cleveland,3,93.53
Chicago,3,14.99
Austin,3,
Virginia Beach,4,77.39
Riverside,3,47.78
Portland,3,26.31
Plano,1,91.41
Irvine,3,38.29
Lincoln,5,
Oklahoma City,2,84.03
Jersey City,5,38.87
Greensboro,5,69.28
Aurora,2,10.94
Denver,1,45.55
Newark,1,86.36
Omaha,4,65.40
Columbus,3,64.39
Louisville,1,95.31
Toledo,1,25.47
Honolulu,2,52.21
Phoenix,4,84.22
Philadelphia,5,14.54
Atlanta,4,48.79
Aurora,2,24.08
Austin,3,56.93
Washington,4,52.55
Detroit,1,63.51
Oklahoma City,1,36.11
Dallas,2,97.61
Anchorage,1,15.36
St. Louis,1,75.02
Colorado Springs,3,84.09
Irvine,3,
Minneapolis,2,68.69
Albuquerque,3,22.43
Virginia Beach,4,56.95
Oklahoma City,2,65.09
Plano,4,76.06
El Paso,1,91.85
Anchorage,5,
Henderson,1,58.34
Stockton,3,60.57
Saint Paul,4,94.33
Columbus,3,69.10
Dallas,1,89.29
Fort Wayne,4,36.24
Baltimore,5,42.40
Portland,3,67.32
Portland,2,92.66
Detroit,5,66.74
Lincoln,1,60.75
Memphis,3,31.42
Laredo,1,23.22
New Orleans,5,30.51
Newark,4,24.03
Pittsburgh,3,31.73
Santa Ana,1,22.96
Indianapolis,3,92.87
Greensboro,1,95.31
Mesa,5,67.36
Las Vegas,3,99.64
Albuquerque,4,68.68
Fresno,1,46.91
Portland,3,87.44
Oklahoma City,5,15.34
Columbus,1,
Tucson,3,44.03
Tampa,1,82.55
San Antonio,3,44.62
New York,2,51.51
Laredo,2,46.03
Las Vegas,4,84.59
Lexington,3,54.69
Corpus Christi,1,77.03
Plano,3,91.16
San Jose,2,55.00
Anaheim,3,
San Diego,1,
Fort Worth,2,18.57
Oakland,4,59.81
Laredo,5,58.95
San Diego,4,43.80
Wichita,1,63.91
Corpus Christi,3,54.89
Denver,4,83.18
Fort Worth,5,12.90
Arlington,4,55.98
Virginia Beach,3,83.14
San Antonio,2,45.42
El Paso,3,71.93
Philadelphia,4,27.32
Sacramento,1,49.87
Anchorage,3,65.84
St. Petersburg,2,46.49
Lexington,3,89.62
Oklahoma City,4,43.06
El Paso,1,70.62
Memphis,4,97.15
El Paso,4,
Dallas,1,61.65
Tulsa,1,
Jersey City,4,91.82
Jersey City,5,15.23
Oakland,2,78.18
Columbus,3,72.12
Pittsburgh,3,58.19
Henderson,1,55.66
Oakland,4,58.71
Las Vegas,4,36.87
Plano,5,61.99
St. Petersburg,1,99.97
Saint Paul,3,44.93
Santa Ana,3,41.36
Mesa,4,36.40
Santa Ana,3,19.23
Sacramento,4,56.47
Henderson,5,36.61
Aurora,3,74.69
Pittsburgh,5,
St. Petersburg,4,78.99
St. Louis,3,73.60
Las Vegas,3,35.59
St. Petersburg,1,44.32
Tampa,5,68.45
Greensboro,4,46.05
Los Angeles,4,58.47
Greensboro,2,80.63
Sacramento,3,39.23
Newark,4,79.10
Boston,2,83.66
Columbus,3,47.24
El Paso,4,53.87
Albuquerque,4,17.68
New Orleans,1,47.86
Chicago,2,92.04
Raleigh,3,45.10
Arlington,2,72.32
Chicago,3,25.33
Cincinnati,3,75.67
Stockton,5,28.13
Laredo,5,
Arlington,5,64.88
Houston,1,21.13
San Diego,1,81.53
Chula Vista,4,47.55
Tampa,5,71.89
Laredo,5,31.54
Orlando,4,79.87
Raleigh,2,35.45
Cleveland,1,13.70
Kansas City,4,25.28
Jersey City,4,10.38
Columbus,3,70.28
Fresno,1,63.03
San Francisco,2,
Miami,3,40.57
Long Beach,5,93.24
Las Vegas,5,74.53
Lexington,3,38.01
Riverside,4,82.79
Toledo,2,30.60
Minneapolis,1,87.53
Greensboro,1,21.84
Long Beach,2,46.56
Seattle,5,54.83
Jersey City,3,45.27
Cincinnati,1,53.04
Aurora,4,15.65
Henderson,2,49.93
Cincinnati,4,69.86
Tulsa,5,87.23
Chula Vista,1,81.34
Jersey City,1,45.32
Kansas City,2,47.57
Tulsa,1,19.59
Philadelphia,3,
Toledo,4,17.32
Nashville,2,51.58
Memphis,3,36.20
Fort Worth,4,23.04
Fort Wayne,2,15.50
Dallas,4,38.09
Arlington,5,68.58
Honolulu,2,49.29
Tucson,1,89.85
Santa Ana,4,14.79
Louisville,2,67.44
Toledo,3,82.30
Jacksonville,3,95.06
Durham,1,73.41
